mukey,ssurgo_si_ft,ssurgo_si_base,n_components,ssurgo_si_m
576200,93.9666666666667,,3,28.64104
640599,83.5570469798658,,2,25.4681879194631
1479393,91.9259259259259,,5,28.0190222222222
576178,53,,1,16.1544
2760756,87.6923076923077,,2,26.7286153846154
2888418,87.3506493506494,,2,26.6244779220779
1415791,71.9130434782609,,3,21.9190956521739
569732,94.5,,2,28.8036
1481052,81.4877192982456,,5,24.8374568421053
886556,73.1333333333333,,4,22.29104
1399038,72.5,,2,22.098
376887,90.2571428571428,,7,27.5103771428571
1425006,68.0769230769231,,4,20.7498461538462
1384417,76.65,,4,23.36292
1407001,65.0165562913907,,6,19.8170463576159
1725705,97.3269230769231,,3,29.6652461538462
2398501,77.3724832214765,,5,23.583132885906
323123,100,,2,30.48
700506,84.9795918367347,,6,25.9017795918367
1414059,78.3157894736842,,8,23.870652631579
328166,86.7051282051282,,3,26.4277230769231
320700,76.514598540146,,4,23.3216496350365
379703,56.8210862619808,,3,17.3190670926518
575598,84,,1,25.6032
2760810,92.05,,3,28.05684
1460097,67.2383177570093,,5,20.4942392523364
2888391,104.636363636364,,3,31.8931636363636
328128,79.0666666666667,,4,24.09952
1399059,78.9322033898305,,5,24.0585355932203
2760809,86,,3,26.2128
3102870,70.9090909090909,,4,21.6130909090909
1472726,91.14,,6,27.779472
1421558,57.5641025641026,,6,17.5455384615385
320817,87.4237288135593,,4,26.6467525423729
1392069,76.6666666666667,,7,23.368
1380332,88.2857142857143,,2,26.9094857142857
823781,84.3333333333333,,7,25.7048
1477084,83.75,,1,25.527
1148815,86.8518518518519,,4,26.4724444444444
640606,76.6666666666667,,1,23.368
1454419,76.7,,4,23.37816
1472743,73.2978723404255,,2,22.3411914893617
323985,56.6575342465754,,3,17.2692164383562
379713,85.9010989010989,,3,26.182654945055
1381545,80.62,,6,24.572976
1481021,87.8148148148148,,3,26.7659555555556
2727030,69.2682926829268,,4,21.1129756097561
754245,86,,1,26.2128
323661,66.8627450980392,,6,20.3797647058824
322084,85.3535353535354,,6,26.0157575757576
631637,91.1571428571429,,4,27.7846971428571
1586097,91.3,,4,27.82824
577047,91.9322033898305,,4,28.0209355932203
3045925,62.6,,4,19.08048
1399056,75.3108108108108,,5,22.9547351351351
332594,87.5714285714286,,5,26.6917714285714
1481045,80.6153846153846,,4,24.5715692307692
1425215,65.6574585635359,,4,20.0123933701657
3121726,81,,1,24.6888
1444891,81.82156133829,,5,24.9392118959108
2398462,81.3935742971888,,8,24.8087614457831
1529413,59.7978723404255,,5,18.2263914893617
1399047,75,,4,22.86
1454461,75.5333333333333,,4,23.02256
823557,99.2830188679245,,3,30.2614641509434
2398473,83.8333333333333,,3,25.5524
700504,88.2179487179487,,5,26.8888307692308
797450,81.8666666666667,,4,24.95296
1425025,95.3913043478261,,5,29.0752695652174
2888424,83.4285714285714,,2,25.4290285714286
1421082,81.2698412698413,,6,24.7710476190476
320744,76.7517006802721,,6,23.3939183673469
320843,73.5979381443299,,6,22.4326515463918
1479399,93.0225563909774,,4,28.3532751879699
576218,85.7142857142857,,3,26.1257142857143
1454467,85.1365187713311,,4,25.9496109215017
1425356,81.8181818181818,,7,24.9381818181818
1425317,68.6666666666667,,2,20.9296
1381549,78.2,,4,23.83536
1017153,100.888888888889,,2,30.7509333333333
2888298,91.258064516129,,3,27.8154580645161
1713221,85.2241379310345,,5,25.9763172413793
320695,88.6556603773585,,6,27.0222452830189
1481025,78.5866666666667,,6,23.953216
2822033,53.6974789915966,,4,16.3669915966387
1444881,75.3920265780731,,5,22.9794897009967
2994954,88.3725490196079,,2,26.9359529411765
3236254,57,,4,17.3736
886549,69.4166666666667,,3,21.1582
1454420,77.3555555555556,,6,23.5779733333333
328186,83.9827586206897,,3,25.5979448275862
1479382,93.9666666666667,,3,28.64104
332412,75.9354838709677,,5,23.145135483871
2424629,80.9090909090909,,2,24.6610909090909
1421557,58.7373737373737,,4,17.9031515151515
323987,75.45,,4,22.99716
576217,72.3186813186813,,3,22.0427340659341
886580,75,,4,22.86
2995082,90,,1,27.432
332455,82.9574468085106,,4,25.285429787234
1529451,61.3133333333333,,6,18.688304
1384396,59.4870689655172,,5,18.1316586206897
369253,82.5,,1,25.146
2513633,70.8333333333333,,3,21.59
2686802,69.8347107438017,,3,21.2856198347107
631614,82.263959390863,,4,25.074054822335
1725702,77.1904761904762,,2,23.5276571428571
328148,82.9032258064516,,3,25.2689032258065
1014629,88.025641025641,,3,26.8302153846154
1725683,92,,1,28.0416
797478,70.2457142857143,,7,21.4108937142857
320671,76.7320261437909,,6,23.3879215686275
1536527,103.251282051282,,3,31.4709907692308
3102888,63.6111111111111,,7,19.3886666666667
379678,89.4968152866242,,5,27.2786292993631
1721653,91.9322033898305,,4,28.0209355932203
366818,60,,1,18.288
1536512,85.297385620915,,4,25.9986431372549
1444695,75.45,,4,22.99716
323397,68.0769230769231,,4,20.7498461538462
1399062,87.4237288135593,,4,26.6467525423729
1481044,91.3333333333333,,1,27.8384
1712917,86.2714776632303,,6,26.2955463917526
886558,88.9795918367347,,4,27.1209795918367
2760771,94.3866666666667,,4,28.769056
2760782,86.3839285714286,,3,26.3298214285714
2888518,89.2322404371585,,5,27.1979868852459
823791,78.0173010380623,,5,23.7796733564014
576208,87.8030690537084,,3,26.7623754475703
576183,73.3,,3,22.34184
1473348,84.8067632850242,,7,25.8491014492754
328178,88,,1,26.8224
1421090,69.7213114754098,,5,21.2510557377049
1529412,71.9620253164557,,5,21.9340253164557
366821,46.1818181818182,,3,14.0762181818182
3102970,35,,1,10.668
323127,63.4047619047619,,4,19.3257714285714
