plot_key,SI_gada_plot,SI_gada_n,n_species
39.1648_-105.516,8.14803029364781,4,1
39.6553_-105.4785,15.8537493962392,5,1
45.5437_-122.2379,28.5198707584685,5,1
48.4124_-122.6454,26.2579598486248,5,1
48.7129_-119.656,19.9986719249099,10,1
45.6891_-114.6708,20.2409266626214,4,1
38.7359_-122.8637,25.1939092153945,6,1
45.1054_-117.0169,23.220627579933,6,1
47.4392_-116.0567,28.9094146173581,2,1
46.6852_-121.4923,37.9143774689559,3,1
44.7608_-122.409,35.2703896886942,7,1
45.1859_-123.7647,46.1735702445488,15,1
43.7016_-122.7863,35.5776860216804,20,1
42.3573_-112.3382,15.8463045850174,4,1
45.8931_-123.2418,32.1970207950106,15,1
45.8226_-123.3676,37.8957570653267,11,1
36.8187_-105.391,11.7158528414736,5,1
43.7098_-122.5571,14.86725404945,9,1
45.8463_-123.0344,29.027624352259,16,1
33.3678_-108.5694,16.9073628648797,5,1
42.3293_-123.6296,23.5209512499772,18,1
45.3004_-122.1916,30.3462053001845,23,1
47.4064_-116.1414,27.1424305436054,4,1
46.0755_-121.8671,21.2913046958443,21,1
44.4711_-122.0966,27.9620525185589,6,1
39.349_-123.4376,22.975121145055,8,1
42.8494_-124.2611,28.3088236877951,32,1
44.9434_-122.582,36.0730950889543,10,1
46.928_-123.1607,37.8025442591814,18,1
44.6733_-121.4457,20.6880743573596,6,1
43.2_-123.1088,28.7002050143491,35,1
46.0946_-115.4503,25.1618539510991,6,1
43.8655_-123.8828,30.7804593649281,10,1
41.1433_-111.6611,14.1097345158402,2,1
46.4394_-114.849,25.595929101302,5,1
42.3624_-124.3366,29.553943148265,23,1
45.8837_-117.9544,17.3910589881365,4,1
48.9804_-118.2491,18.4666089883486,6,1
47.942_-116.2699,25.4842047735504,4,1
48.065_-123.0042,21.1383243808239,4,1
45.385_-116.7435,13.6876596352548,4,1
42.8628_-109.6126,8.96378268135461,2,1
48.484_-118.7773,19.3876816194078,6,1
47.2328_-113.9038,22.527918260051,4,1
36.4629_-105.0523,16.5330187416246,6,1
43.4382_-123.4438,27.2372620799633,13,1
45.3467_-114.3202,20.7501364286718,4,1
48.9284_-120.5015,16.1934412744084,6,1
41.9236_-122.7394,20.473988452873,14,1
45.2584_-123.521,45.4715068474455,13,1
48.0494_-114.3139,18.7472210165679,8,1
44.989_-107.7153,8.01759361018635,2,1
43.9791_-115.5645,17.31654039887,4,1
40.8483_-122.5541,16.2305583611659,5,1
42.7005_-122.7642,31.4596000467523,6,1
44.1555_-115.5609,12.9747621071778,2,1
46.6825_-110.6086,10.8712053014166,4,1
37.4526_-105.2863,7.85047474824175,1,1
37.1313_-106.3239,11.2981004877944,8,1
46.4008_-122.3655,32.1846113628511,15,1
43.8613_-122.7588,49.0317122492142,10,1
45.713_-121.7481,30.1885957566648,10,1
44.5163_-122.9635,33.4982108828748,17,1
